,insurance_price,registration_year,model,type,gearbox,power,mileage,fuel,brand,damage,price
48298,380.0,2006,c4,bus,auto,140,150000,gasoline,citroen,0.0,4267
81047,,2016,vito,,,0,150000,,mercedes_benz,,2457
92754,930.0,2010,mondeo,limousine,manual,175,125000,diesel,ford,0.0,10374
46007,680.0,2000,andere,,auto,265,150000,gasoline,ford,0.0,7098
76981,,3,2_reihe,convertible,manual,109,150000,gasoline,peugeot,0.0,2365
9651,80.0,1999,c_klasse,station wagon,auto,122,150000,gasoline,mercedes_benz,0.0,1415
43085,60.0,1999,a6,station wagon,auto,165,150000,gasoline,audi,,1091
94244,,2016,twingo,,,55,125000,gasoline,renault,0.0,1228
74568,30.0,2016,golf,,manual,105,150000,gasoline,volkswagen,,2275
20894,330.0,2005,primera,limousine,manual,116,150000,gasoline,nissan,0.0,4732
34481,460.0,2010,astra,limousine,manual,115,125000,gasoline,opel,0.0,6269
15129,380.0,2009,ibiza,limousine,manual,86,70000,gasoline,seat,,6279
78290,420.0,2008,2_reihe,small car,auto,120,60000,gasoline,peugeot,0.0,5813
36795,300.0,2001,3er,convertible,manual,231,150000,gasoline,bmw,0.0,5915
68236,670.0,2014,golf,convertible,manual,105,20000,gasoline,volkswagen,0.0,17017
42679,410.0,2002,andere,,auto,220,150000,,nissan,0.0,4550
8018,40.0,1991,andere,limousine,manual,136,150000,gasoline,mercedes_benz,0.0,1455
4684,60.0,1998,escort,convertible,manual,118,150000,gasoline,ford,0.0,864
51492,70.0,2000,a_klasse,limousine,manual,0,125000,gasoline,mercedes_benz,0.0,1314
2078,210.0,2001,a6,limousine,auto,165,150000,gasoline,audi,,2912
76291,410.0,2008,a4,limousine,manual,160,100000,gasoline,audi,0.0,10465
68252,330.0,2003,andere,station wagon,manual,105,90000,gasoline,suzuki,0.0,2912
73823,80.0,1997,e_klasse,limousine,auto,220,150000,gasoline,mercedes_benz,,1456
44340,110.0,2004,fabia,station wagon,manual,100,150000,diesel,skoda,0.0,2256
33230,170.0,2009,panda,small car,manual,60,150000,,fiat,0.0,2593
61712,530.0,2012,mondeo,station wagon,manual,140,150000,diesel,ford,0.0,9090
20714,800.0,2010,kuga,,manual,136,125000,diesel,ford,0.0,11648
14334,,0,c_klasse,limousine,manual,163,125000,gasoline,mercedes_benz,0.0,2912
7853,,9,ibiza,small car,manual,86,70000,gasoline,seat,0.0,7179
60868,260.0,2008,vectra,station wagon,manual,150,150000,diesel,opel,,5004
52716,190.0,2005,2_reihe,station wagon,manual,110,150000,diesel,peugeot,,2720
17234,,2016,2_reihe,,manual,0,150000,gasoline,peugeot,,500
10700,140.0,2005,colt,small car,manual,95,100000,diesel,mitsubishi,0.0,1774
24458,230.0,2001,a4,station wagon,manual,116,150000,diesel,audi,1.0,1547
98831,1950.0,2015,mondeo,limousine,auto,179,20000,diesel,ford,0.0,29484
68539,210.0,2010,fiesta,small car,manual,95,150000,diesel,ford,0.0,5187
69759,,2016,touran,,auto,105,150000,diesel,volkswagen,,5460
88976,110.0,2002,andere,limousine,manual,0,125000,gasoline,kia,,1456
79473,,93,,limousine,auto,245,150000,gasoline,sonstige_autos,0.0,2730
14920,1140.0,2010,sprinter,bus,manual,129,150000,diesel,mercedes_benz,1.0,7552
18933,120.0,2012,,small car,,75,60000,gasoline,renault,,5004
46193,360.0,2006,a4,station wagon,manual,140,150000,diesel,audi,0.0,5642
9794,250.0,2004,tigra,convertible,manual,90,150000,gasoline,opel,0.0,3048
9473,90.0,1999,galant,limousine,auto,150,150000,gasoline,mitsubishi,1.0,728
71133,860.0,2015,6_reihe,station wagon,manual,165,10000,gasoline,mazda,0.0,20010
19112,490.0,2006,touran,,auto,170,150000,diesel,volkswagen,0.0,5732
29062,550.0,2009,golf,limousine,manual,110,150000,diesel,volkswagen,0.0,8281
26055,330.0,2004,astra,station wagon,manual,150,150000,diesel,opel,1.0,2912
25810,1680.0,2013,3er,station wagon,auto,116,40000,diesel,bmw,0.0,21749
75922,130.0,2002,bora,limousine,manual,110,125000,gasoline,volkswagen,0.0,4277
50554,160.0,2003,3er,limousine,,0,150000,diesel,bmw,0.0,2093
33281,340.0,2009,golf,limousine,auto,170,100000,diesel,volkswagen,0.0,15288
98372,,2016,golf,,manual,0,5000,gasoline,volkswagen,0.0,1228
44253,5180.0,2015,andere,limousine,auto,320,20000,diesel,audi,0.0,55965
29671,350.0,2008,astra,station wagon,manual,90,125000,gasoline,opel,0.0,5350
7462,290.0,2009,6_reihe,station wagon,manual,140,150000,diesel,mazda,0.0,6278
85489,,96,golf,convertible,manual,0,150000,gasoline,volkswagen,,500
40499,450.0,2005,7er,limousine,auto,329,150000,diesel,bmw,0.0,8053
35488,,99,7er,limousine,auto,286,125000,gasoline,bmw,0.0,8180
37587,400.0,2005,3er,station wagon,manual,150,150000,gasoline,bmw,0.0,5823
73820,910.0,2011,touran,bus,auto,150,60000,gasoline,volkswagen,,13276
5885,1180.0,1992,transporter,bus,manual,77,150000,diesel,volkswagen,0.0,12740
28271,130.0,2000,clk,coupé,auto,196,150000,liquefied petroleum gas,mercedes_benz,0.0,3094
12442,210.0,2002,c_klasse,station wagon,auto,143,150000,diesel,mercedes_benz,0.0,2730
36729,930.0,2004,slk,convertible,auto,163,150000,gasoline,mercedes_benz,0.0,8372
48762,30.0,2016,3er,,manual,180,150000,gasoline,bmw,,2275
59530,220.0,1999,a3,limousine,manual,209,150000,gasoline,audi,0.0,4095
48054,,2004,focus,station wagon,manual,101,150000,diesel,ford,1.0,455
83664,1350.0,2010,tiguan,,manual,140,150000,diesel,volkswagen,0.0,16379
52433,320.0,2000,3er,limousine,manual,105,150000,gasoline,bmw,1.0,1911
33054,50.0,1997,mondeo,limousine,manual,115,150000,gasoline,ford,0.0,819
94655,460.0,2004,passat,station wagon,manual,136,150000,diesel,volkswagen,0.0,4176
3063,40.0,1998,andere,limousine,manual,167,150000,gasoline,mazda,0.0,910
83645,70.0,1997,corsa,small car,manual,54,150000,gasoline,opel,0.0,1365
30833,140.0,2004,zafira,bus,manual,97,150000,compressed natural gas,opel,0.0,1774
31328,140.0,2000,a_klasse,limousine,manual,90,125000,diesel,mercedes_benz,0.0,2022
26604,70.0,1998,a3,coupé,manual,125,5000,gasoline,audi,0.0,1092
30792,,2016,polo,,manual,60,5000,gasoline,volkswagen,,1182
23954,,9,golf,limousine,manual,110,125000,diesel,volkswagen,0.0,8180
85264,70.0,2002,a3,limousine,auto,131,150000,diesel,audi,0.0,1911
57164,150.0,2002,3er,other,manual,116,150000,gasoline,bmw,0.0,1547
72933,60.0,1998,3er,small car,manual,90,150000,diesel,bmw,0.0,1092
64939,190.0,2006,polo,small car,,0,150000,diesel,volkswagen,,2457
