,insurance_price,registration_year,model,type,gearbox,power,mileage,fuel,brand,damage,price
78007,,1997,,limousine,manual,75,150000,gasoline,volkswagen,,455
84729,,2016,golf,,,90,150000,diesel,volkswagen,,455
45287,,1990,,small car,manual,90,150000,gasoline,ford,1.0,455
47658,,1997,3er,limousine,manual,102,150000,gasoline,bmw,1.0,455
9102,,1999,focus,station wagon,manual,116,150000,gasoline,ford,1.0,455
26834,,2000,golf,,manual,150,5000,gasoline,volkswagen,,455
87732,,2016,punto,,,0,5000,,fiat,,455
79683,,1999,a4,limousine,manual,101,150000,gasoline,audi,0.0,455
27561,,1992,,limousine,manual,90,150000,gasoline,audi,0.0,455
696,,2000,mondeo,station wagon,auto,0,150000,gasoline,ford,1.0,455
27212,,1995,polo,small car,manual,45,150000,gasoline,volkswagen,,455
45999,,1998,primera,limousine,manual,99,125000,gasoline,nissan,1.0,455
79302,,1998,mondeo,limousine,manual,115,150000,gasoline,ford,0.0,455
17523,,1991,,small car,manual,75,125000,gasoline,opel,,455
70722,,1999,vectra,station wagon,manual,101,150000,gasoline,opel,1.0,455
18342,,2000,megane,,manual,90,150000,gasoline,renault,1.0,455
44931,,2016,,,,0,150000,,audi,,455
56284,,2000,laguna,station wagon,auto,114,150000,gasoline,renault,0.0,455
91738,,1998,clio,small car,manual,58,150000,gasoline,renault,0.0,455
66087,,2001,rio,station wagon,manual,98,150000,gasoline,kia,0.0,455
35966,,2016,twingo,,,0,150000,,renault,1.0,455
62303,,1994,polo,coupé,manual,0,150000,gasoline,volkswagen,0.0,455
71878,,2001,focus,station wagon,manual,90,150000,diesel,ford,0.0,455
81593,,2004,carnival,bus,manual,144,150000,diesel,kia,1.0,455
50931,,94,golf,limousine,auto,75,125000,gasoline,volkswagen,,455
30443,,2005,andere,,,0,150000,gasoline,peugeot,,455
99141,,2001,ibiza,limousine,,0,150000,gasoline,seat,,455
35223,,2016,colt,,manual,75,150000,,mitsubishi,,455
11693,,1993,golf,limousine,manual,90,150000,gasoline,volkswagen,0.0,455
38307,,1989,civic,small car,auto,94,90000,gasoline,honda,0.0,455
65158,,1997,3er,station wagon,manual,102,150000,gasoline,bmw,0.0,455
61301,,2001,focus,station wagon,manual,100,150000,gasoline,ford,0.0,455
66072,,2000,astra,,manual,75,150000,gasoline,opel,0.0,455
17422,,1995,golf,limousine,auto,0,150000,gasoline,volkswagen,0.0,455
74439,,2001,punto,small car,manual,80,150000,,fiat,,455
30686,,2016,ka,,manual,0,150000,gasoline,ford,,455
94842,,2007,kalina,limousine,manual,0,100000,gasoline,lada,0.0,455
95931,,1997,astra,convertible,manual,75,150000,gasoline,opel,,455
66174,,2016,corsa,,manual,68,150000,gasoline,opel,,455
37104,,2000,golf,,manual,0,150000,gasoline,volkswagen,1.0,455
18794,,2016,agila,,manual,0,150000,gasoline,opel,0.0,455
25278,,2003,punto,small car,manual,60,150000,gasoline,fiat,,455
55083,,2000,corsa,small car,manual,0,150000,gasoline,opel,0.0,455
36306,,1994,andere,station wagon,manual,111,150000,gasoline,volvo,0.0,455
90022,,97,arosa,small car,manual,50,150000,gasoline,seat,1.0,455
18271,,2001,fortwo,small car,auto,41,150000,diesel,smart,0.0,455
