,insurance_price,registration_year,model,type,gearbox,power,mileage,fuel,brand,damage,price
50675,,2003,colt,limousine,manual,82,125000,gasoline,mitsubishi,1.0,455
19365,,2003,lupo,small car,manual,60,70000,gasoline,volkswagen,1.0,455
77565,,1997,,small car,manual,1256,150000,,audi,,455
27520,,1997,arosa,small car,manual,50,150000,gasoline,seat,1.0,455
15785,,1991,golf,other,manual,90,150000,gasoline,volkswagen,0.0,455
41225,,2005,,small car,manual,60,125000,gasoline,volkswagen,1.0,455
66700,,1999,galant,limousine,manual,136,150000,gasoline,mitsubishi,0.0,455
3980,,2016,,,manual,75,150000,,volkswagen,,455
8195,,2000,corsa,small car,manual,54,125000,gasoline,opel,0.0,455
91815,,1998,fiesta,bus,manual,60,150000,gasoline,ford,,455
8485,,1998,5er,station wagon,manual,143,150000,diesel,bmw,,455
82235,,2000,vectra,station wagon,manual,0,150000,gasoline,opel,,455
4415,,2005,,,manual,110,150000,gasoline,mitsubishi,0.0,455
5465,,1995,corsa,small car,manual,45,70000,gasoline,opel,0.0,455
45060,,2001,polo,small car,manual,55,150000,gasoline,volkswagen,1.0,455
16340,,1993,andere,station wagon,manual,75,100000,gasoline,renault,0.0,455
9480,,2016,ibiza,,manual,70,150000,,seat,,455
73060,,2000,colt,limousine,manual,82,150000,gasoline,mitsubishi,0.0,455
93335,,1997,polo,small car,manual,50,150000,gasoline,volkswagen,0.0,455
5900,,2000,colt,small car,manual,75,150000,gasoline,mitsubishi,,455
35695,,2000,,,,0,5000,,sonstige_autos,,455
49835,,2016,golf,,manual,0,150000,gasoline,volkswagen,0.0,455
83305,,1991,3er,limousine,manual,113,150000,gasoline,bmw,0.0,455
16270,,1995,a6,station wagon,manual,116,150000,,audi,,455
55170,,2000,cuore,small car,auto,58,70000,gasoline,daihatsu,0.0,455
9370,,2000,polo,small car,manual,75,5000,gasoline,volkswagen,0.0,455
52265,,98,astra,limousine,manual,75,150000,gasoline,opel,0.0,455
15285,,2006,primera,station wagon,,109,150000,gasoline,nissan,1.0,455
51615,,1995,,,,0,5000,,sonstige_autos,,455
33210,,1995,polo,small car,manual,50,150000,gasoline,volkswagen,0.0,455
29375,,94,3er,limousine,manual,116,150000,gasoline,bmw,,455
44510,,1994,3er,limousine,manual,116,150000,gasoline,bmw,0.0,455
63780,,1999,mondeo,station wagon,manual,116,150000,gasoline,ford,0.0,455
82395,,1998,omega,station wagon,auto,131,150000,diesel,opel,1.0,455
71765,,1997,andere,limousine,manual,110,150000,gasoline,citroen,0.0,455
60000,,1999,andere,coupé,manual,127,125000,gasoline,ford,1.0,455
45470,,1991,900,coupé,manual,126,150000,gasoline,saab,0.0,455
63080,,95,astra,limousine,manual,70,150000,gasoline,opel,,455
40630,,2016,passat,,manual,90,150000,,volkswagen,0.0,455
69005,,2016,fiesta,,,0,60000,gasoline,ford,1.0,455
